City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,clyde river,70.4692,-68.5914,241.28,62,0,5.14,CA,1675476390
302,abu dhabi,24.4667,54.3667,293.21,75,0,2.57,AE,1675476354
303,nioro,13.35,-15.75,296.79,15,11,2.66,GM,1675476391
304,maridi,4.9158,29.4742,293.0,26,51,1.0,SS,1675476391
305,guerrero negro,27.9769,-114.0611,289.37,51,100,4.23,MX,1675476392
306,hakui,36.8833,136.7833,280.27,71,100,7.19,JP,1675476392
307,nemuro,43.3236,145.575,266.72,64,13,0.45,JP,1675476392
308,walvis bay,-22.9575,14.5053,290.42,84,100,2.78,NA,1675476393
309,qui nhon,13.7667,109.2333,297.45,85,100,2.95,VN,1675476393
310,katsuura,35.1333,140.3,281.16,84,100,1.21,JP,1675476393
311,betanzos,43.2804,-8.2147,279.67,81,0,3.09,ES,1675476394
312,padang,-0.9492,100.3543,297.18,69,100,0.4,ID,1675476394
313,angoram,-4.0625,144.0661,304.0,57,99,1.43,PG,1675476395
314,troitskoye,52.9821,84.6757,255.52,100,100,0.93,RU,1675476109
315,ayios mamas,40.2667,23.3333,281.05,50,100,2.62,GR,1675476397
316,hamilton,39.1834,-84.5333,267.0,63,0,3.6,US,1675476398
317,berlevag,70.8578,29.0864,269.15,74,20,7.2,NO,1675476398
318,sobradinho,-12.8333,-39.1,296.47,89,37,1.17,BR,1675476187
319,dunedin,-45.8742,170.5036,296.92,63,3,4.91,NZ,1675476107
320,ola,59.5833,151.2833,256.07,79,51,2.47,RU,1675476400
321,luba,3.4568,8.5547,300.28,83,15,2.15,GQ,1675476401
322,buala,-8.145,159.5921,302.21,75,57,1.45,SB,1675476402
323,kapit,2.0167,112.9333,296.97,98,100,0.36,MY,1675476403
324,bereda,43.2686,-7.5406,274.83,89,0,0.53,ES,1675476403
325,provideniya,64.3833,-173.3,250.24,89,32,5.21,RU,1675476404
326,ahipara,-35.1667,173.1667,296.03,74,100,3.75,NZ,1675476404
327,sorland,67.667,12.6934,276.07,65,100,7.96,NO,1675476404
328,havoysund,70.9963,24.6622,270.28,72,78,5.53,NO,1675476405
329,kenai,60.5544,-151.2583,271.53,93,100,3.09,US,1675476405
330,sitka,57.0531,-135.33,277.09,81,20,2.06,US,1675476406
331,lakes entrance,-37.8811,147.981,288.8,77,100,8.82,AU,1675476406
332,samana,19.2056,-69.3369,296.03,81,1,3.1,DO,1675476407
333,fortuna,40.5982,-124.1573,285.18,77,40,3.6,US,1675476408
334,batemans bay,-35.7167,150.1833,294.87,25,4,4.88,AU,1675476409
335,aripuana,-9.1667,-60.6333,295.81,98,100,0.51,BR,1675476196
336,blois,47.5833,1.3333,281.36,93,0,2.76,FR,1675476409
337,hua hin,12.5707,99.9588,303.93,69,36,1.36,TH,1675476410
